Code	T	TL	L	LB	B	BR	R	RT	RTL	TLB	LBR	BRT	TLBR	C	M

2F00															
4E00															
2F01															
4E28															
2F02															
4E36															
2F03															
4E3F															
2F04															
4E59															
2F06															
4E8C															
2F07															
4EA0															
2F08															
4EBA															
2F09															
513F															
2F0A															
5165															
2F0B															
516B															
2F0C															
5182															
2F0D															
5196															
2F0E			51AB_Y												
51AB															
2F0F															
51E0															
2F10															
51F5															
2F11															
5200															
2F12															
529B															
2F13															
52F9															
2F14															
5315															
2F15															
531A															
2F17															
5341															
2F18															
535C															
2F19															
5369															
2F1A															
5382															
2F1B															
53B6															
2F1C															
53C8															
2F1D															
53E3															
2F1E															
56D7															
2F1F															
571F															
2F20															
58EB															
2F21															
5902															
2F23															
5915															
2F24															
5927															
2F25															
5973															
2F26															
5B50															
2F27															
5B80															
2F28															
5BF8															
2F29															
5C0F															
2F2A															
5C22															
2F2B															
5C38															
2F2C															
5C6E															
2F2D															
5C71															
2F2E															
5DDB															
2F2F															
5DE5															
2F30															
5DF1															
2F31															
5DFE															
2F32															
5E72															
2F33															
5E7A															
2F34															
5E7F															
2F35															
5EF4															
2F36															
5EFE															
2F37															
5F0B															
2F38															
5F13															
2F39															
5F50															
2F3A															
5F61															
2F3B															
5F73															
2F3C															
5FC3															
2F3D															
6208															
2F3F															
624B															
2F40															
652F	5341_Y				53C8_Y										
2F41															
6534	2E8A_Y				53C8_Y										
2F42															
6587	4EA0_Y				4E42_Y										
2F43															
6597															
2F44															
65A4															
2F45															
65B9															
2F46															
65E0															
2F47															
65E5															
2F48															
66F0															
2F49															
6708															
2F4A															
6728															
2F4B															
6B20															
2F4C															
6B62															
2F4D															
6B79															
2F4E															
6BB3	20627_Y				53C8_Y										
2F4F															
6BCB															
2F50															
6BD4			5315_Y				5315_Y								
2F51															
6BDB															
2F52															
6C0F															
2F53															
6C14															
2F54															
6C34															
2F55															
706B															
2F56															
722A															
2F57															
7236	516B_Y				4E42_Y										
2F58															
723B	3405_Y				4E42_Y										
2F59															
723F															
2F5A															
7247															
2F5B															
7259															
2F5C															
725B															
2F5D															
72AC															
2F5E															
7384	4EA0_Y				5E7A_Y										
2F5F															
7389															
2F60															
74DC															
2F61															
74E6															
2F62															
7518															
2F63															
751F															
2F64															
7528															
2F65															
7530															
2F66															
758B															
2F67															
7592															
2F69															
767D	4E3F_Y				65E5_Y										
2F6A															
76AE															
2F6B															
76BF															
2F6C															
76EE															
2F6D															
77DB															
2F6E															
77E2															
2F6F															
77F3		4E06_Y				53E3_Y									
2F70															
793A	4E8C_Y				5C0F_Y										
2F72															
79BE	4E3F_Y				6728_Y										
2F73															
7A74	5B80_Y				516B_Y										
2F74															
7ACB															
2F75															
7AF9			4E87_Y				4E87_Y								
2F76															
7C73															
2F77															
7CF8	5E7A_Y				5C0F_Y										
2F78															
7F36															
2F79															
7F51															
2F7A															
7F8A															
2F7B															
7FBD			4E60_Y				4E60_Y								
2F7C															
8001	8002_Y				5315_Y										
2F7D															
800C	4E06_Y				2EB5_N										
2F7E															
8012															
2F7F															
8033															
2F80															
807F	8080_Y				4E8C_Y										
2F81															
8089															
2F82															
81E3															
2F83															
81EA	4E3F_Y				76EE_Y										
2F84															
81F3	20AD4_Y				571F_Y										
2F85															
81FC															
2F86															
820C	5343_Y				53E3_Y										
2F87															
821B			5915_Y				3404_Y								
2F88															
821F															
2F89															
826E															
2F8A															
8272	2E88_Y				5DF4_Y										
2F8C															
864D															
2F8D															
866B															
2F8E															
8840	4E3F_Y				76BF_Y										
2F8F															
884C			5F73_Y				4E8D_Y								
2F90															
8863															
2F93															
89D2	2E88_Y				7528_Y										
2F94															
8A00															
2F95															
8C37															
2F96															
8C46															
2F97															
8C55															
2F98															
8C78															
2F9A															
8D64															
2F9B															
8D70	571F_Y				9FB0_Y										
2F9C															
8DB3	53E3_Y				9FB0_Y										
2F9D															
8EAB															
2F9F															
8F9B	7ACB_Y				5341_Y										
2FA0															
8FB0															
2FA2															
9091	53E3_Y				5DF4_Y										53E3_N
2FA3															
9149															
2FA5															
91CC															
2FA6															
91D1															
2FA9															
961C	200A4_Y				5341_Y										
2FAA															
96B6															
2FAB															
96B9															
2FAC															
96E8															
2FAE															
975E															
2FAF															
9762	4E06_Y				56EC_Y										
2FB0															
9769															
2FB2															
97ED	975E_Y				4E00_Y										
2FB3															
97F3	7ACB_Y				65E5_Y										
2FB7															
98DF	4EBA_Y				826F_Y										
2FB8															
9996															
2FB9															
9999	79BE_Y				65E5_Y										
2FBB															
9AA8															
2FBC															
9AD8	4EA0_Y				518B_Y									53E3_Y	
2FBD			9577_Y				5F61_Y								
9ADF			9578_Y				5F61_Y								
2FBF															
9B2F	2068D_Y				5315_Y										
2FC0															
9B32															
2FC1															
9B3C															
2FC5															
9E7F															
2FC7															
9EBB		5E7F_Y				6797_Y									
2FC9															
9ECD	79BE_Y				6C3A_Y									4EBA_Y	
2FCA															
9ED1															
2FCB															
9EF9	4E1A_Y				3840_Y										
2FCD															
9F0E															
2FCE			58F4_N				652F_Y								
9F13			58F4_Y				652F_Y								
2FCF															
9F20															
2FD0															
9F3B	81EA_Y				4E0C_Y									7530_Y	
2FD5															
9FA0															
4E01															
4E03															
4E07															
4E08															
4E09															
4E0A															
4E0B															
4E0C															
4E0D															
4E0E															
4E10															
4E11															
4E13															
4E14															
4E15	4E0D_Y				4E00_Y										
4E16															
4E18															
4E19	4E00_Y				5185_Y										
4E1A															
4E1B	4ECE_Y				4E00_Y										
4E1C															
4E1D		2EB0_N			4E00_Y			2EB0_N							
4E1E	6C36_Y				4E00_Y										
4E22	4E3F_Y				53BB_Y										
4E24															
4E25															
4E27															
4E2A	4EBA_Y				4E28_Y										
4E2B															
4E2C															
4E2D															
4E30															
4E32															
4E34			3022_Y			2BA4F_Y		2EAE_N							
4E38															
4E39															
4E3A															
4E3B															
4E3D															
4E3E	5174_Y				4E30_N										
4E43															
4E45															
4E47	4E3F_Y				4E03_Y										
4E48															
4E49															
4E4B															
4E4C															
4E4D															
4E4E															
4E4F	4E3F_Y				4E4B_Y										
4E50															
4E52	4E18_Y				4E3F_Y										
4E53	4E18_Y				4E36_Y										
4E54															
4E56															
4E58															
4E5C															
4E5D															
4E5E	20089_Y				4E59_Y										
4E5F															
4E60								200CC_Y							51AB_N
4E61															
4E66															
4E69			5360_Y				4E5A_Y								
4E70	4E5B_Y				5934_Y										
4E71			820C_Y				4E5A_Y								
4E73			5B5A_Y				4E5A_Y								
4E7E			9FBA_Y				4E5E_Y								
4E86															
4E88															
4E89															
4E8B															
4E8D															
4E8E															
4E8F															
4E91	4E8C_Y				53B6_Y										
4E92															
4E93															
4E94															
4E95															
4E98	4E00_Y				65E6_Y										
4E9A	4E00_Y				4E1A_Y										
4E9B	6B64_Y				4E8C_Y										
4E9F															
4EA1	4EA0_Y				200CA_Y										
4EA2	4EA0_Y				51E0_Y										
4EA4	4EA0_Y				7236_Y										
4EA5	4EA0_Y				5E7A_N										
4EA6															
4EA7															
4EA8	4EA0_Y				4E86_Y									53E3_Y	
4EA9	4EA0_Y				7530_Y										
4EAB	4EA0_Y				5B50_Y									53E3_Y	
4EAC	4EA0_Y				5C0F_Y									53E3_Y	
4EAD	2F07_Y				4E01_Y										53E3_N;2F0D_N
4EAE	2F07_Y				51E0_Y										53E3_N;2F0D_N
4EB2	7ACB_Y				6729_Y										
4EB3	4EA0_Y				4E47_Y										53E3_N;2F0D_N
4EB5	4EA0_Y				27607_Y									6267_Y	
4EBB															
4EBF			4EBB_Y				4E59_Y								
4EC0			4EBB_Y				5341_Y								
4EC1			4EBB_Y				4E8C_Y								
4EC2			4EBB_Y				529B_Y								
4EC3			4EBB_Y				4E01_Y								
4EC4		5382_Y				4EBA_Y									
4EC5			4EBB_Y				53C8_Y								
4EC6			4EBB_Y				535C_Y								
4EC7			4EBB_Y				4E5D_Y								
4EC9			4EBB_Y				51E0_Y								
4ECA															
4ECB															
4ECD			4EBB_Y				4E43_Y								
4ECE															
4ED1	4EBA_Y				5315_Y										
4ED3	4EBA_Y				2E8B_Y										
4ED4			4EBB_Y				5B50_Y								
4ED5			4EBB_Y				58EB_Y								
4ED6			4EBB_Y				4E5F_Y								
4ED7			4EBB_Y				4E08_Y								
4ED8			4EBB_Y				5BF8_Y								
4ED9			4EBB_Y				5C71_Y								
4EDD	4EBA_Y				5DE5_Y										
4EDE			4EBB_Y				5203_Y								
4EDF			4EBB_Y				5343_Y								
4EE1			4EBB_Y				4E5E_Y								
4EE3			4EBB_Y				5F0B_Y								
4EE4															
4EE5															
4EE8			4EBB_Y				4E09_Y								
4EEA			4EBB_Y				4E49_Y								
4EEB			4EBB_Y				4E48_Y								
4EEC			4EBB_Y				95E8_Y								
4EF0			4EBB_Y				536C_Y								
4EF2			4EBB_Y				4E2D_Y								
4EF3			4EBB_Y				6BD4_Y								
4EF5			4EBB_Y				5348_Y								
4EF6			4EBB_Y				725B_Y								
4EF7			4EBB_Y				4ECB_Y								
4EFB			4EBB_Y				58EC_Y								
4EFD			4EBB_Y				5206_Y								
4EFF			4EBB_Y				65B9_Y								
4F01	4EBA_Y				6B62_Y										
4F09			4EBB_Y				4EA2_Y								
4F0A			4EBB_Y				5C39_Y								
4F0D			4EBB_Y				4E94_Y								
4F0E			4EBB_Y				652F_Y								
4F0F			4EBB_Y				72AC_Y								
4F10			4EBB_Y				6208_Y								
4F11			4EBB_Y				6728_Y								
4F17	4EBA_Y				4ECE_Y										
4F18			4EBB_Y				5C24_Y								
4F19			4EBB_Y				706B_Y								
4F1A	4EBA_Y				4E91_Y										
4F1B			4EBB_Y				533A_Y								
4F1E															
4F1F			4EBB_Y				97E6_Y								
4F20			4EBB_Y				4E13_Y								
4F22			4EBB_Y				7259_Y								
4F24			4EBB_Y			529B_Y		20089_N							
4F25			4EBB_Y				957F_Y								
4F26			4EBB_Y				4ED1_Y								
4F27			4EBB_Y				4ED3_Y								
4F2A			4EBB_Y				4E3A_Y								
4F2B			4EBB_Y				3749_Y								
4F2F			4EBB_Y				767D_Y								
4F30			4EBB_Y				53E4_Y								
4F32			4EBB_Y				5C3C_Y								
4F34			4EBB_Y				534A_Y								
4F36			4EBB_Y				4EE4_Y								
4F38			4EBB_Y				7533_Y								
4F3A			4EBB_Y				53F8_Y								
4F3C			4EBB_Y				4EE5_Y								
4F3D			4EBB_Y				52A0_Y								
4F43			4EBB_Y				7530_Y								
4F46			4EBB_Y				65E6_Y								
4F4D			4EBB_Y				7ACB_Y								
4F4E			4EBB_Y				6C10_Y								
4F4F			4EBB_Y				4E3B_Y								
4F50			4EBB_Y				5DE6_Y								
4F51			4EBB_Y				53F3_Y								
4F53			4EBB_Y				672C_Y								
4F55			4EBB_Y				53EF_Y								
4F57			4EBB_Y				5B83_Y								
4F58	4EBA_Y				793A_Y										
4F59	4EBA_Y				6729_Y										4E00_N
4F5A			4EBB_Y				5931_Y								
4F5B			4EBB_Y				5F17_Y								
4F5C			4EBB_Y				4E4D_Y								
4F5D			4EBB_Y				53E5_Y								
4F5E			4EBB_Y				216AC_Y								
4F5F			4EBB_Y				51AC_Y								
4F60			4EBB_Y				5C14_Y								
4F63			4EBB_Y				7528_Y								
4F64			4EBB_Y				74E6_Y								
4F65															
4F67			4EBB_Y				5361_Y								
4F69			4EBB_Y				2B95E_Y								
4F6C			4EBB_Y				8001_Y								
4F6F			4EBB_Y				7F8A_Y								
4F70			4EBB_Y				767E_Y								
4F73			4EBB_Y				572D_Y								
4F74			4EBB_Y				8033_Y								
4F76			4EBB_Y				5409_Y								
4F7B			4EBB_Y				5146_Y								
4F7C			4EBB_Y				4EA4_Y								
4F7E			4EBB_Y				43CC_Y								
4F7F			4EBB_Y				540F_Y								
4F83			4EBB_Y				5144_N								
4F84			4EBB_Y				81F3_Y								
4F88			4EBB_Y				591A_Y								
4F89			4EBB_Y				5938_Y								
4F8B			4EBB_Y				5217_Y								
4F8D			4EBB_Y				5BFA_Y								
4F8F			4EBB_Y				6731_Y								
4F91			4EBB_Y				6709_Y								
4F94			4EBB_Y				725F_Y								
4F97			4EBB_Y				540C_Y								
4F9B			4EBB_Y				5171_Y								
4F9D			4EBB_Y				8863_Y								
4FA0			4EBB_Y				5939_Y								
4FA3			4EBB_Y				5415_Y								
4FA5			4EBB_Y				5C27_Y								
4FA6			4EBB_Y				8D1E_Y								
4FA7			4EBB_Y				5219_Y								
4FA8			4EBB_Y				4E54_Y								
4FA9			4EBB_Y				4F1A_Y								
4FAA			4EBB_Y				9F50_Y								
4FAC			4EBB_Y				519C_Y								
4FAE			4EBB_Y				6BCF_Y								
4FAF			4EBB_Y			77E2_Y		30E6_Y							
4FB5			4EBB_Y				20B36_Y								
4FBF			4EBB_Y				66F4_Y								
4FC3			4EBB_Y				8DB3_Y								
4FC4			4EBB_Y				6211_Y								
4FC5			4EBB_Y				6C42_Y								
4FCA			4EBB_Y				590B_Y								
4FCE			4ECC_Y				4E14_Y								
4FCF			4EBB_Y				8096_Y								
4FD0			4EBB_Y				5229_Y								
4FD1			4EBB_Y				752C_Y								
4FD7			4EBB_Y				8C37_Y								
4FD8			4EBB_Y				5B5A_Y								
4FDA			4EBB_Y				91CC_Y								
4FDC			4EBB_Y				7539_Y								
4FDD			4EBB_Y				5446_Y								
4FDE	4EBA_Y				5216_Y										4E00_N
4FDF			4EBB_Y				77E3_Y								
4FE1			4EBB_Y				8A00_Y								
4FE3			4EBB_Y				5434_Y								
4FE6			4EBB_Y				5BFF_Y								
4FE8			4EBB_Y				4E25_Y								
4FE9			4EBB_Y				4E24_Y								
4FEA			4EBB_Y				4E3D_Y								
4FED			4EBB_Y				4F65_Y								
4FEE			4EBB_Y			5F61_Y		5902_Y							4E28_N
4FEF			4EBB_Y				5E9C_Y								
4FF1			4EBB_Y				5177_Y								
4FF3			4EBB_Y				975E_Y								
4FF8			4EBB_Y				5949_Y								
4FFA			4EBB_Y				5944_Y								
4FFE			4EBB_Y				5351_Y								
500C			4EBB_Y				5B98_Y								
500D			4EBB_Y				5485_Y								
500F			4EBB_Y			72AC_Y		5902_Y							4E28_N
5012			4EBB_Y				5230_Y								
5014			4EBB_Y				5C48_Y								
5018			4EBB_Y				5C1A_Y								
5019			4EBB_Y			77E2_Y		30E6_Y							4E28_N
501A			4EBB_Y				5947_Y								
501C			4EBB_Y				5468_Y								
501F			4EBB_Y				6614_Y								
5021			4EBB_Y				660C_Y								
5025			4EBB_Y				7A7A_Y								
5026			4EBB_Y				5377_Y								
5028			4EBB_Y				5C45_Y								
5029			4EBB_Y				9752_Y								
502A			4EBB_Y				5152_Y								
502C			4EBB_Y				5353_Y								
502D			4EBB_Y				59D4_Y								
502E			4EBB_Y				679C_Y								
503A			4EBB_Y				8D23_Y								
503C			4EBB_Y				76F4_Y								
503E			4EBB_Y				9877_Y								
5043			4EBB_Y				533D_Y								
5047			4EBB_Y				53DA_Y								
5048			4EBB_Y				66F7_Y								
504C			4EBB_Y				82E5_Y								
504E			4EBB_Y				754F_Y								
504F			4EBB_Y				6241_Y								
5055			4EBB_Y				7686_Y								
505A			4EBB_Y				6545_Y								
505C			4EBB_Y				4EAD_Y								
5065			4EBB_Y				5EFA_Y								
506C			4EBB_Y				6031_Y								
5076			4EBB_Y				79BA_Y								
5077			4EBB_Y				4FDE_Y								
507B			4EBB_Y				5A04_Y								
507E			4EBB_Y				8D32_Y								
507F			4EBB_Y				5C1D_Y								
5080			4EBB_Y				9B3C_Y								
5085			4EBB_Y				5C03_Y								
5088			4EBB_Y				6817_Y								
508D			4EBB_Y				65C1_Y								
50A3			4EBB_Y				6CF0_Y								
50A5			4EBB_Y				515A_Y								
50A7			4EBB_Y				5BBE_Y								
50A8			4EBB_Y				8BF8_Y								
50A9			4EBB_Y				96BE_Y								
50AC			4EBB_Y				5D14_Y								
50B2			4EBB_Y				6556_Y								
50BA			4EBB_Y				796D_Y								
50BB			4EBB_Y				21569_Y								
50CF			4EBB_Y				8C61_Y								
50D6			4EBB_Y				559C_Y								
50DA			4EBB_Y				5C1E_Y								
50E6			4EBB_Y				5C31_Y								
50E7			4EBB_Y				66FE_Y								
50EC			4EBB_Y				7126_Y								
50ED			4EBB_Y				6701_Y								
50EE			4EBB_Y				7AE5_Y								
50F3			4EBB_Y				7C9F_Y								
